"","YR","SP","DEPTH","LAT","LON","ASDIST","DTEOC"
"5119",2013,172,81.1538461538462,38.6149417692308,-73.5051248461538,511.83546716246,97.327546927402
"5120",2014,172,112.923076923077,39.1164432307692,-72.9872,584.989893011628,113.596847448275
"5121",2015,172,73.5625,38.4878075,-73.4577281875,505.008039260815,97.794741351135
"5122",2016,172,49.5862068965517,39.3525903448276,-73.3852596551724,582.126053669125,59.8746514617834
"5123",2017,172,87.1538461538462,38.3676275384615,-73.3194003076923,503.086793949041,98.1689781316144
"5124",2018,172,92.7777777777778,38.5282928888889,-73.5964762222222,501.271796432912,97.035619560625
"5125",2019,172,71.5,38.5788385,-73.4897551818182,511.007295573523,89.4920103579848
"5126",2020,172,66.1052631578947,38.4433947894737,-73.8048333157895,482.057176213867,85.0595008445914
"5127",2021,172,62.95,39.52822565,-72.8368402,628.42516871775,78.0587417570624
"5128",2022,172,69.9411764705882,38.5266765294118,-73.4378626470588,507.714400264164,82.5443930484316
"5129",2023,172,NA,NA,NA,NA,NA
"5130",2024,172,79.3636363636364,38.5513097272727,-73.445763,510.522936560189,104.821828039791
"5131",1968,173,NA,NA,NA,NA,NA
"5132",1969,173,NA,NA,NA,NA,NA
"5133",1970,173,NA,NA,NA,NA,NA
"5134",1971,173,NA,NA,NA,NA,NA
"5135",1972,173,NA,NA,NA,NA,NA
"5136",1973,173,NA,NA,NA,NA,NA
"5137",1974,173,NA,NA,NA,NA,NA
"5138",1975,173,NA,NA,NA,NA,NA
"5139",1976,173,NA,NA,NA,NA,NA
"5140",1977,173,NA,NA,NA,NA,NA
"5141",1978,173,NA,NA,NA,NA,NA
"5142",1979,173,NA,NA,NA,NA,NA
"5143",1980,173,NA,NA,NA,NA,NA
"5144",1981,173,NA,NA,NA,NA,NA
"5145",1982,173,NA,NA,NA,NA,NA
"5146",1983,173,NA,NA,NA,NA,NA
"5147",1984,173,NA,NA,NA,NA,NA
"5148",1985,173,NA,NA,NA,NA,NA
"5149",1986,173,NA,NA,NA,NA,NA
"5150",1987,173,NA,NA,NA,NA,NA
"5151",1988,173,NA,NA,NA,NA,NA
"5152",1989,173,NA,NA,NA,NA,NA
"5153",1990,173,NA,NA,NA,NA,NA
"5154",1991,173,NA,NA,NA,NA,NA
"5155",1992,173,NA,NA,NA,NA,NA
"5156",1993,173,NA,NA,NA,NA,NA
"5157",1994,173,NA,NA,NA,NA,NA
"5158",1995,173,NA,NA,NA,NA,NA
"5159",1996,173,NA,NA,NA,NA,NA
"5160",1997,173,NA,NA,NA,NA,NA
"5161",1998,173,NA,NA,NA,NA,NA
"5162",1999,173,NA,NA,NA,NA,NA
"5163",2000,173,NA,NA,NA,NA,NA
"5164",2001,173,NA,NA,NA,NA,NA
"5165",2002,173,NA,NA,NA,NA,NA
"5166",2003,173,NA,NA,NA,NA,NA
"5167",2004,173,NA,NA,NA,NA,NA
"5168",2005,173,NA,NA,NA,NA,NA
"5169",2006,173,NA,NA,NA,NA,NA
"5170",2007,173,NA,NA,NA,NA,NA
"5171",2008,173,NA,NA,NA,NA,NA
"5172",2009,173,NA,NA,NA,NA,NA
"5173",2010,173,NA,NA,NA,NA,NA
"5174",2011,173,NA,NA,NA,NA,NA
"5175",2012,173,NA,NA,NA,NA,NA
"5176",2013,173,NA,NA,NA,NA,NA
"5177",2014,173,NA,NA,NA,NA,NA
"5178",2015,173,NA,NA,NA,NA,NA
"5179",2016,173,NA,NA,NA,NA,NA
"5180",2017,173,NA,NA,NA,NA,NA
"5181",2018,173,NA,NA,NA,NA,NA
"5182",2019,173,NA,NA,NA,NA,NA
"5183",2020,173,NA,NA,NA,NA,NA
"5184",2021,173,NA,NA,NA,NA,NA
"5185",2022,173,NA,NA,NA,NA,NA
"5186",2023,173,NA,NA,NA,NA,NA
"5187",2024,173,NA,NA,NA,NA,NA
"5188",1968,176,82,41.85,-66.25,1200.3148105048,191.539057974024
"5189",1969,176,67.5,41.591667,-67.266667,1117.7326803841,162.971613978402
"5190",1970,176,59,39.0458335,-72.99583325,578.750308938241,77.6266177516365
"5191",1971,176,70,40.875,-69.1583335,952.827974805683,109.325029922457
"5192",1972,176,31,41.733333,-67.95,1091.9220001775,167.019551323389
"5193",1973,176,36.5416666666667,40.6812500833333,-72.4416667083333,746.155955865565,37.5158703005922
"5194",1974,176,39.5555555555556,40.7425926666667,-71.2537037777778,822.464628316839,64.4496986113066
"5195",1975,176,63.8333333333333,41.5805555,-69.8083333333333,971.923436562431,72.2627767683807
"5196",1976,176,52.3846153846154,40.6653846153846,-70.7833332307692,839.151921327019,89.8037917113222
"5197",1977,176,55.3333333333333,41.4296297777778,-69.3851852222222,986.79153276687,98.7016320018767
"5198",1978,176,43,41.31458325,-70.4083335,917.457543605069,64.7393930900215
"5199",1979,176,52.2,40.9233333,-69.87,916.076824417684,108.643720169943
"5200",1980,176,56.4666666666667,41.1899999333333,-69.8455556,938.993547275141,89.9301786736083
"5201",1981,176,60.8125,41.289583375,-69.07395825,991.067315483589,120.032017492033
"5202",1982,176,53.1,40.6116667,-70.9650001,824.970966655217,95.0678257912718
"5203",1983,176,38.875,41.15208325,-70.581250125,892.724997890266,79.2370507044481
"5204",1984,176,44.625,40.6625,-71.025,826.128113797923,71.6111218205997
"5205",1985,176,53.1666666666667,41.2638888333333,-69.8749998333333,943.220646770845,89.2547062964053
"5206",1986,176,49.2,40.9283333,-70.57,876.914432561608,75.5614914060851
"5207",1987,176,72.6363636363636,41.248485,-69.8757576363636,942.719419256163,93.3115648701636
"5208",1988,176,57.8333333333333,41.3861111666667,-69.9833335,949.5497539252,85.8957363496251
"5209",1989,176,51,41.2030302727273,-69.3393938181818,970.847869159806,100.798400112132
"5210",1990,176,58.4,41.5633334,-68.7466666,1030.75735804891,126.500851653086
"5211",1991,176,65.25,41.3,-69.268749875,981.208522336672,108.626307356686
"5212",1992,176,63.5555555555556,41.4907406666667,-68.6481482222222,1033.53781425772,121.285907515994
"5213",1993,176,66.875,41.362500125,-68.868750125,1009.60275046909,127.99555725805
"5214",1994,176,60.5,41.3194441666667,-69.6805555,958.441341306574,98.3244485458331
"5215",1995,176,69.1,41.6183333,-68.5483333,1049.86384759368,124.174178068465
"5216",1996,176,65.7142857142857,41.6238094285714,-68.0238095714286,1078.55113516042,153.601001042256
"5217",1997,176,67,41.3142855714286,-70.0595238571429,938.376498386366,74.8260660759844
"5218",1998,176,77.5,40.7083335,-69.7055558333333,906.569677516539,103.026756840684
"5219",1999,176,52.2727272727273,41.197591,-70.3266362727273,911.991390115562,62.5699776076392
"5220",2000,176,55.3333333333333,41.692139,-69.0201388333333,1028.77348499729,110.946957485006
"5221",2001,176,52.2,41.6544716,-69.221962,1016.04539016202,106.608084730006
"5222",2002,176,54.3,41.4793333,-69.1132,1004.02793012496,111.472932501604
"5223",2003,176,58.125,41.97923025,-68.989606875,1056.22605405301,92.9023890025298
"5224",2004,176,50,40.2346336,-71.7921664,744.667506192754,71.770050264025
"5225",2005,176,50,41.082035,-68.422012,1012.1406892953,143.088285146567
"5226",2006,176,58,41.7689556666667,-69.2282333333333,1024.75528315198,96.567916440257
"5227",2007,176,59,41.9372176666667,-69.4184923333333,1025.84168768558,78.3730350485003
"5228",2008,176,89.25,42.7971045,-68.97537975,1123.61082209007,39.3280840433338
"5229",2009,176,66.8333333333333,41.4779386666667,-69.7238336666667,973.557406739416,94.0420896393073
"5230",2010,176,69.25,41.645434875,-68.958857375,1027.00525014287,114.073261317931
"5231",2011,176,71.6,41.1570954,-68.7949038,993.585030730654,139.87650385154
"5232",2012,176,63.25,42.352994,-68.720124125,1101.99620323739,109.502424477993
"5233",2013,176,65.2,42.3043518,-68.4364058,1115.10851692346,120.020312570901
"5234",2014,176,67.6666666666667,41.8104145,-69.5124598333333,1008.330417997,98.9763991509623
"5235",2015,176,73.5,43.21867525,-69.59605825,1126.44802709617,41.3744697507131
"5236",2016,176,59.4615384615385,41.8882983846154,-69.2657283076923,1031.58974884997,91.8506744066473
"5237",2017,176,73.8888888888889,42.171532,-68.9228532222222,1076.29246795059,84.7451022722316
"5238",2018,176,85.25,42.12882375,-68.42198725,1096.75871610809,113.785326637549
"5239",2019,176,77,42.2727825,-68.435562,1107.13111691417,110.259499181947
"5240",2020,176,34,40.3985,-73.771833,651.370850090026,15.4975369185618
"5241",2021,176,49.6666666666667,41.9060003333333,-67.4424443333333,1134.83037189656,194.244851907157
"5242",2022,176,64.7272727272727,42.1570453636364,-68.1272726363636,1118.15164759871,131.381782264833
"5243",2023,176,73.8,41.8196499,-67.72675,1112.00975086632,155.800990012083
"5244",2024,176,65.8571428571429,42.0047385714286,-68.9593601428571,1061.36156308965,108.130098246045
"5245",1968,177,NA,NA,NA,NA,NA
"5246",1969,177,NA,NA,NA,NA,NA
"5247",1970,177,NA,NA,NA,NA,NA
"5248",1971,177,NA,NA,NA,NA,NA
"5249",1972,177,NA,NA,NA,NA,NA
"5250",1973,177,NA,NA,NA,NA,NA
"5251",1974,177,NA,NA,NA,NA,NA
"5252",1975,177,NA,NA,NA,NA,NA
"5253",1976,177,NA,NA,NA,NA,NA
"5254",1977,177,NA,NA,NA,NA,NA
"5255",1978,177,NA,NA,NA,NA,NA
"5256",1979,177,NA,NA,NA,NA,NA
"5257",1980,177,NA,NA,NA,NA,NA
"5258",1981,177,NA,NA,NA,NA,NA
"5259",1982,177,NA,NA,NA,NA,NA
"5260",1983,177,NA,NA,NA,NA,NA
"5261",1984,177,NA,NA,NA,NA,NA
"5262",1985,177,NA,NA,NA,NA,NA
"5263",1986,177,NA,NA,NA,NA,NA
"5264",1987,177,NA,NA,NA,NA,NA
"5265",1988,177,NA,NA,NA,NA,NA
"5266",1989,177,NA,NA,NA,NA,NA
"5267",1990,177,NA,NA,NA,NA,NA
"5268",1991,177,NA,NA,NA,NA,NA
"5269",1992,177,NA,NA,NA,NA,NA
"5270",1993,177,NA,NA,NA,NA,NA
"5271",1994,177,NA,NA,NA,NA,NA
"5272",1995,177,NA,NA,NA,NA,NA
"5273",1996,177,NA,NA,NA,NA,NA
"5274",1997,177,NA,NA,NA,NA,NA
"5275",1998,177,NA,NA,NA,NA,NA
"5276",1999,177,NA,NA,NA,NA,NA
"5277",2000,177,NA,NA,NA,NA,NA
"5278",2001,177,NA,NA,NA,NA,NA
"5279",2002,177,NA,NA,NA,NA,NA
"5280",2003,177,NA,NA,NA,NA,NA
"5281",2004,177,NA,NA,NA,NA,NA
"5282",2005,177,NA,NA,NA,NA,NA
"5283",2006,177,NA,NA,NA,NA,NA
"5284",2007,177,NA,NA,NA,NA,NA
"5285",2008,177,NA,NA,NA,NA,NA
"5286",2009,177,NA,NA,NA,NA,NA
"5287",2010,177,NA,NA,NA,NA,NA
"5288",2011,177,NA,NA,NA,NA,NA
"5289",2012,177,NA,NA,NA,NA,NA
"5290",2013,177,NA,NA,NA,NA,NA
"5291",2014,177,NA,NA,NA,NA,NA
"5292",2015,177,NA,NA,NA,NA,NA
"5293",2016,177,NA,NA,NA,NA,NA
"5294",2017,177,NA,NA,NA,NA,NA
"5295",2018,177,NA,NA,NA,NA,NA
"5296",2019,177,NA,NA,NA,NA,NA
"5297",2020,177,NA,NA,NA,NA,NA
"5298",2021,177,NA,NA,NA,NA,NA
"5299",2022,177,NA,NA,NA,NA,NA
"5300",2023,177,NA,NA,NA,NA,NA
"5301",2024,177,NA,NA,NA,NA,NA
"5302",1968,179,NA,NA,NA,NA,NA
"5303",1969,179,NA,NA,NA,NA,NA
"5304",1970,179,NA,NA,NA,NA,NA
"5305",1971,179,NA,NA,NA,NA,NA
"5306",1972,179,NA,NA,NA,NA,NA
"5307",1973,179,NA,NA,NA,NA,NA
"5308",1974,179,NA,NA,NA,NA,NA
"5309",1975,179,NA,NA,NA,NA,NA
"5310",1976,179,NA,NA,NA,NA,NA
"5311",1977,179,NA,NA,NA,NA,NA
"5312",1978,179,NA,NA,NA,NA,NA
"5313",1979,179,NA,NA,NA,NA,NA
"5314",1980,179,NA,NA,NA,NA,NA
"5315",1981,179,NA,NA,NA,NA,NA
"5316",1982,179,NA,NA,NA,NA,NA
"5317",1983,179,NA,NA,NA,NA,NA
"5318",1984,179,NA,NA,NA,NA,NA
"5319",1985,179,NA,NA,NA,NA,NA
"5320",1986,179,NA,NA,NA,NA,NA
"5321",1987,179,NA,NA,NA,NA,NA
"5322",1988,179,NA,NA,NA,NA,NA
"5323",1989,179,NA,NA,NA,NA,NA
"5324",1990,179,NA,NA,NA,NA,NA
"5325",1991,179,NA,NA,NA,NA,NA
"5326",1992,179,NA,NA,NA,NA,NA
"5327",1993,179,NA,NA,NA,NA,NA
"5328",1994,179,NA,NA,NA,NA,NA
"5329",1995,179,NA,NA,NA,NA,NA
"5330",1996,179,NA,NA,NA,NA,NA
"5331",1997,179,NA,NA,NA,NA,NA
"5332",1998,179,NA,NA,NA,NA,NA
"5333",1999,179,NA,NA,NA,NA,NA
"5334",2000,179,NA,NA,NA,NA,NA
"5335",2001,179,NA,NA,NA,NA,NA
"5336",2002,179,NA,NA,NA,NA,NA
"5337",2003,179,NA,NA,NA,NA,NA
"5338",2004,179,NA,NA,NA,NA,NA
"5339",2005,179,NA,NA,NA,NA,NA
"5340",2006,179,NA,NA,NA,NA,NA
"5341",2007,179,NA,NA,NA,NA,NA
"5342",2008,179,NA,NA,NA,NA,NA
"5343",2009,179,NA,NA,NA,NA,NA
"5344",2010,179,NA,NA,NA,NA,NA
"5345",2011,179,NA,NA,NA,NA,NA
"5346",2012,179,NA,NA,NA,NA,NA
"5347",2013,179,NA,NA,NA,NA,NA
"5348",2014,179,NA,NA,NA,NA,NA
"5349",2015,179,NA,NA,NA,NA,NA
"5350",2016,179,NA,NA,NA,NA,NA
"5351",2017,179,NA,NA,NA,NA,NA
"5352",2018,179,NA,NA,NA,NA,NA
"5353",2019,179,NA,NA,NA,NA,NA
"5354",2020,179,NA,NA,NA,NA,NA
"5355",2021,179,NA,NA,NA,NA,NA
"5356",2022,179,NA,NA,NA,NA,NA
"5357",2023,179,NA,NA,NA,NA,NA
"5358",2024,179,NA,NA,NA,NA,NA
"5359",1968,181,59.8636363636364,40.9856060454545,-69.1674242272727,960.185575126969,135.001221917816
"5360",1969,181,48.375,41.125,-68.997916625,982.992432287887,107.272943969159
"5361",1970,181,41.6363636363636,39.5090908181818,-72.1181818181818,665.448709522342,81.9862717705989
"5362",1971,181,43.3333333333333,39.575,-71.3305555,716.916309752789,107.528834466708
"5363",1972,181,45.6666666666667,40.8333331666667,-69.5861111666667,923.792912079611,132.029114487612
"5364",1973,181,41.9428571428571,40.0038095142857,-72.0400000285714,712.956111704488,71.6594372765617
"5365",1974,181,45.5789473684211,40.5385965263158,-70.5552632105263,842.906488521197,99.0276033571788
"5366",1975,181,44.1052631578947,40.7526315263158,-70.2877193157895,874.454030975564,105.338156811006
"5367",1976,181,45.0714285714286,40.3257936309524,-71.2009920714286,787.729096648563,85.6629362893989
"5368",1977,181,52.2631578947368,40.6888888947368,-70.3988304210526,865.107487764682,94.1410745388986
"5369",1978,181,48.2386363636364,40.0401515227273,-71.2992424659091,757.957764620095,92.7298033809878
"5370",1979,181,52.4432989690722,40.4135738762887,-70.8118557113402,818.386410951265,92.2254464398735
"5371",1980,181,50.07,40.45433329,-71.41883329,787.455250989673,64.1474371527515
"5372",1981,181,52.0112359550562,40.1166666629213,-71.6651685280899,743.402673712606,78.3570162564381
"5373",1982,181,43.4745762711864,40.1132768305085,-71.7819209152542,736.794727438335,69.4080452590784
"5374",1983,181,47.3272727272727,40.4366666727273,-71.0827272727273,804.934891050052,78.9347575881365
"5375",1984,181,46.2941176470588,40.0163398235294,-71.8934640392157,721.505350188528,68.8272379107404
"5376",1985,181,41.06,39.9426667,-72.20666668,697.953342173917,58.3810469084116
"5377",1986,181,43.5945945945946,40.2130630810811,-71.3144144324324,772.28079345864,86.9224417603632
"5378",1987,181,53.7,40.50433334,-70.7946667,826.165154520968,88.2408016199849
"5379",1988,181,47.6455696202532,40.4738396455696,-71.3086498481013,794.02646484749,72.3736714322858
"5380",1989,181,38.7457627118644,39.8694915423729,-71.8717514067797,710.067083811189,76.2801968715889
"5381",1990,181,41.59375,40.32552078125,-71.2072916875,786.706498566351,74.0004802730897
"5382",1991,181,42.6944444444444,40.3995370555556,-70.7597223055556,819.418275341736,98.7736739492686
"5383",1992,181,36.64,40.40066668,-71.54799996,774.225723535885,73.329511835439
"5384",1993,181,27.6,39.9725,-72.6191667,676.354091836006,42.6512997426692
"5385",1994,181,53.75,41.1388888333333,-69.9791668333333,926.935926396633,92.4370313569341
"5386",1995,181,54.3636363636364,41.2121211818182,-69.5242424545455,957.323654714079,117.93169030259
"5387",1996,181,52.6,41.1655555333333,-69.1605556333333,976.618308929542,130.50623359297
"5388",1997,181,45.0277777777778,40.0712962777778,-71.5277777777778,746.516187832153,81.2726960264157
"5389",1998,181,44.9310344827586,40.5247125862069,-71.5195402758621,788.534762241974,61.3658622342091
"5390",1999,181,40.8421052631579,40.5030438421053,-70.6426842631579,834.315919267595,88.9525395463379
"5391",2000,181,48.9166666666667,41.3518055833333,-68.6016389166667,1022.64994935775,145.732623772229
"5392",2001,181,36.9444444444444,40.0305320555556,-72.0194154444444,716.349703151061,67.6736801861053
"5393",2002,181,44.9677419354839,40.2980752903226,-71.4895806774194,769.941354365458,76.3936814954574
"5394",2003,181,77.5,40.704728,-70.8931967,840.410598347208,65.0658060507544
"5395",2004,181,34.1714285714286,40.198119,-72.5210524571429,700.97255079232,42.0570173580413
"5396",2005,181,29.3846153846154,39.3579121538462,-73.3419374615384,581.857817410427,39.5826985848565
"5397",2006,181,38.2727272727273,40.417450969697,-71.3389287878788,788.861907465204,71.2236643552714
"5398",2007,181,49.2631578947368,41.4272356842105,-68.6237347368421,1028.80341813542,138.722704365052
"5399",2008,181,57.5161290322581,41.0683434032258,-69.8331841129032,929.231535074072,105.750150602976
"5400",2009,181,55.2222222222222,40.8743425555556,-70.5515664814815,872.615238374124,79.6637950627171
"5401",2010,181,39.4545454545455,40.8748037272727,-71.691547,806.42783467236,29.7237728304275
"5402",2011,181,54.125,40.0800280416667,-72.9633855,665.054311788894,31.9452636380773
"5403",2012,181,49.5,40.349164,-72.721285,703.973352304529,42.2124991505716
"5404",2013,181,73.1666666666667,41.7560921666667,-69.3229145,1016.6592760784,64.2875661921325
"5405",2014,181,91,40.86698675,-69.579765,924.044377140977,120.19305446778
"5406",2015,181,56.1333333333333,41.1353771333333,-69.6512348666667,945.735337247065,98.7006997251369
"5407",2016,181,71.4666666666667,39.7025307333333,-71.8740828,697.717166021403,83.3902610410866
"5408",2017,181,108.4,41.7536,-68.8541167,1042.08809657862,119.062067025709
"5409",2018,181,28.2222222222222,40.058329,-73.3433004444444,641.034013471777,17.744747779156
"5410",2019,181,40.8709677419355,40.281754,-72.2703281290323,723.063691597346,43.1730965458677
"5411",2020,181,NA,NA,NA,NA,NA
"5412",2021,181,89.5757575757576,41.6127676666667,-67.3575907878788,1115.14494282069,181.649082263906
"5413",2022,181,102.333333333333,41.5785,-67.3771666666667,1111.05503661238,166.880627245287
"5414",2023,181,104.875,41.468864625,-67.2134791875,1111.50958748415,216.814561701979
"5415",2024,181,34.4,41.1256586,-71.265941,849.464017279864,28.3880112741739
"5416",1968,182,NA,NA,NA,NA,NA
"5417",1969,182,NA,NA,NA,NA,NA
"5418",1970,182,NA,NA,NA,NA,NA
"5419",1971,182,NA,NA,NA,NA,NA
"5420",1972,182,NA,NA,NA,NA,NA
"5421",1973,182,NA,NA,NA,NA,NA
"5422",1974,182,NA,NA,NA,NA,NA
"5423",1975,182,NA,NA,NA,NA,NA
"5424",1976,182,NA,NA,NA,NA,NA
"5425",1977,182,NA,NA,NA,NA,NA
"5426",1978,182,NA,NA,NA,NA,NA
"5427",1979,182,NA,NA,NA,NA,NA
"5428",1980,182,NA,NA,NA,NA,NA
"5429",1981,182,NA,NA,NA,NA,NA
"5430",1982,182,NA,NA,NA,NA,NA
"5431",1983,182,NA,NA,NA,NA,NA
"5432",1984,182,NA,NA,NA,NA,NA
"5433",1985,182,NA,NA,NA,NA,NA
"5434",1986,182,NA,NA,NA,NA,NA
"5435",1987,182,NA,NA,NA,NA,NA
"5436",1988,182,NA,NA,NA,NA,NA
"5437",1989,182,NA,NA,NA,NA,NA
"5438",1990,182,NA,NA,NA,NA,NA
"5439",1991,182,NA,NA,NA,NA,NA
"5440",1992,182,NA,NA,NA,NA,NA
"5441",1993,182,NA,NA,NA,NA,NA
"5442",1994,182,NA,NA,NA,NA,NA
"5443",1995,182,NA,NA,NA,NA,NA
"5444",1996,182,NA,NA,NA,NA,NA
"5445",1997,182,NA,NA,NA,NA,NA
"5446",1998,182,NA,NA,NA,NA,NA
"5447",1999,182,NA,NA,NA,NA,NA
"5448",2000,182,NA,NA,NA,NA,NA
"5449",2001,182,NA,NA,NA,NA,NA
"5450",2002,182,NA,NA,NA,NA,NA
"5451",2003,182,NA,NA,NA,NA,NA
"5452",2004,182,NA,NA,NA,NA,NA
"5453",2005,182,NA,NA,NA,NA,NA
"5454",2006,182,NA,NA,NA,NA,NA
"5455",2007,182,NA,NA,NA,NA,NA
"5456",2008,182,NA,NA,NA,NA,NA
"5457",2009,182,NA,NA,NA,NA,NA
"5458",2010,182,NA,NA,NA,NA,NA
"5459",2011,182,NA,NA,NA,NA,NA
"5460",2012,182,NA,NA,NA,NA,NA
"5461",2013,182,NA,NA,NA,NA,NA
"5462",2014,182,NA,NA,NA,NA,NA
"5463",2015,182,NA,NA,NA,NA,NA
"5464",2016,182,NA,NA,NA,NA,NA
"5465",2017,182,NA,NA,NA,NA,NA
"5466",2018,182,NA,NA,NA,NA,NA
"5467",2019,182,NA,NA,NA,NA,NA
"5468",2020,182,NA,NA,NA,NA,NA
"5469",2021,182,NA,NA,NA,NA,NA
"5470",2022,182,NA,NA,NA,NA,NA
"5471",2023,182,NA,NA,NA,NA,NA
"5472",2024,182,NA,NA,NA,NA,NA
"5473",1968,183,NA,NA,NA,NA,NA
"5474",1969,183,NA,NA,NA,NA,NA
"5475",1970,183,NA,NA,NA,NA,NA
"5476",1971,183,NA,NA,NA,NA,NA
"5477",1972,183,NA,NA,NA,NA,NA
"5478",1973,183,NA,NA,NA,NA,NA
"5479",1974,183,NA,NA,NA,NA,NA
"5480",1975,183,NA,NA,NA,NA,NA
"5481",1976,183,NA,NA,NA,NA,NA
"5482",1977,183,NA,NA,NA,NA,NA
"5483",1978,183,NA,NA,NA,NA,NA
"5484",1979,183,NA,NA,NA,NA,NA
"5485",1980,183,NA,NA,NA,NA,NA
"5486",1981,183,NA,NA,NA,NA,NA
"5487",1982,183,NA,NA,NA,NA,NA
"5488",1983,183,NA,NA,NA,NA,NA
"5489",1984,183,NA,NA,NA,NA,NA
"5490",1985,183,NA,NA,NA,NA,NA
"5491",1986,183,NA,NA,NA,NA,NA
"5492",1987,183,NA,NA,NA,NA,NA
"5493",1988,183,NA,NA,NA,NA,NA
"5494",1989,183,NA,NA,NA,NA,NA
"5495",1990,183,NA,NA,NA,NA,NA
"5496",1991,183,NA,NA,NA,NA,NA
"5497",1992,183,NA,NA,NA,NA,NA
"5498",1993,183,NA,NA,NA,NA,NA
"5499",1994,183,NA,NA,NA,NA,NA
"5500",1995,183,NA,NA,NA,NA,NA
"5501",1996,183,NA,NA,NA,NA,NA
"5502",1997,183,NA,NA,NA,NA,NA
"5503",1998,183,NA,NA,NA,NA,NA
"5504",1999,183,NA,NA,NA,NA,NA
"5505",2000,183,NA,NA,NA,NA,NA
"5506",2001,183,NA,NA,NA,NA,NA
"5507",2002,183,NA,NA,NA,NA,NA
"5508",2003,183,NA,NA,NA,NA,NA
"5509",2004,183,NA,NA,NA,NA,NA
"5510",2005,183,NA,NA,NA,NA,NA
"5511",2006,183,NA,NA,NA,NA,NA
"5512",2007,183,NA,NA,NA,NA,NA
"5513",2008,183,NA,NA,NA,NA,NA
"5514",2009,183,NA,NA,NA,NA,NA
"5515",2010,183,NA,NA,NA,NA,NA
"5516",2011,183,NA,NA,NA,NA,NA
"5517",2012,183,NA,NA,NA,NA,NA
"5518",2013,183,NA,NA,NA,NA,NA
"5519",2014,183,NA,NA,NA,NA,NA
"5520",2015,183,NA,NA,NA,NA,NA
"5521",2016,183,NA,NA,NA,NA,NA
"5522",2017,183,NA,NA,NA,NA,NA
"5523",2018,183,NA,NA,NA,NA,NA
"5524",2019,183,NA,NA,NA,NA,NA
"5525",2020,183,NA,NA,NA,NA,NA
"5526",2021,183,NA,NA,NA,NA,NA
"5527",2022,183,NA,NA,NA,NA,NA
"5528",2023,183,NA,NA,NA,NA,NA
"5529",2024,183,NA,NA,NA,NA,NA
"5530",1968,184,NA,NA,NA,NA,NA
"5531",1969,184,NA,NA,NA,NA,NA
"5532",1970,184,NA,NA,NA,NA,NA
"5533",1971,184,NA,NA,NA,NA,NA
"5534",1972,184,NA,NA,NA,NA,NA
"5535",1973,184,NA,NA,NA,NA,NA
"5536",1974,184,NA,NA,NA,NA,NA
"5537",1975,184,NA,NA,NA,NA,NA
"5538",1976,184,NA,NA,NA,NA,NA
"5539",1977,184,NA,NA,NA,NA,NA
"5540",1978,184,NA,NA,NA,NA,NA
"5541",1979,184,NA,NA,NA,NA,NA
"5542",1980,184,NA,NA,NA,NA,NA
"5543",1981,184,NA,NA,NA,NA,NA
"5544",1982,184,NA,NA,NA,NA,NA
"5545",1983,184,NA,NA,NA,NA,NA
"5546",1984,184,NA,NA,NA,NA,NA
"5547",1985,184,NA,NA,NA,NA,NA
"5548",1986,184,NA,NA,NA,NA,NA
"5549",1987,184,NA,NA,NA,NA,NA
"5550",1988,184,NA,NA,NA,NA,NA
"5551",1989,184,NA,NA,NA,NA,NA
"5552",1990,184,NA,NA,NA,NA,NA
"5553",1991,184,NA,NA,NA,NA,NA
"5554",1992,184,NA,NA,NA,NA,NA
"5555",1993,184,NA,NA,NA,NA,NA
"5556",1994,184,NA,NA,NA,NA,NA
"5557",1995,184,NA,NA,NA,NA,NA
"5558",1996,184,NA,NA,NA,NA,NA
"5559",1997,184,NA,NA,NA,NA,NA
"5560",1998,184,NA,NA,NA,NA,NA
"5561",1999,184,NA,NA,NA,NA,NA
"5562",2000,184,NA,NA,NA,NA,NA
"5563",2001,184,NA,NA,NA,NA,NA
"5564",2002,184,NA,NA,NA,NA,NA
"5565",2003,184,NA,NA,NA,NA,NA
"5566",2004,184,NA,NA,NA,NA,NA
"5567",2005,184,NA,NA,NA,NA,NA
"5568",2006,184,NA,NA,NA,NA,NA
"5569",2007,184,NA,NA,NA,NA,NA
"5570",2008,184,NA,NA,NA,NA,NA
"5571",2009,184,NA,NA,NA,NA,NA
"5572",2010,184,NA,NA,NA,NA,NA
"5573",2011,184,NA,NA,NA,NA,NA
"5574",2012,184,NA,NA,NA,NA,NA
"5575",2013,184,NA,NA,NA,NA,NA
"5576",2014,184,NA,NA,NA,NA,NA
"5577",2015,184,NA,NA,NA,NA,NA
"5578",2016,184,NA,NA,NA,NA,NA
"5579",2017,184,NA,NA,NA,NA,NA
"5580",2018,184,NA,NA,NA,NA,NA
"5581",2019,184,NA,NA,NA,NA,NA
"5582",2020,184,NA,NA,NA,NA,NA
"5583",2021,184,NA,NA,NA,NA,NA
"5584",2022,184,NA,NA,NA,NA,NA
"5585",2023,184,NA,NA,NA,NA,NA
"5586",2024,184,NA,NA,NA,NA,NA
"5587",1968,187,NA,NA,NA,NA,NA
"5588",1969,187,NA,NA,NA,NA,NA
"5589",1970,187,NA,NA,NA,NA,NA
"5590",1971,187,NA,NA,NA,NA,NA
"5591",1972,187,NA,NA,NA,NA,NA
"5592",1973,187,NA,NA,NA,NA,NA
"5593",1974,187,NA,NA,NA,NA,NA
